"Onna Katekiyōshi Itoka Sensei to Misshitsu ni Itara Shichau Kama shirenai","Intense","D3 Publisher","November 28, 2012","Unreleased","Unreleased","Unreleased",""
"Onnanoko to Misshitsu ni Itara OO Shichau Kamo Shirenai","D3 Publisher","D3 Publisher","March 15, 2012","Unreleased","Unreleased","Unreleased",""
"Operation Cobra","StickBit","Bidement Entertainment","Unreleased","January 11, 2019","Unreleased","Unreleased",""
"Order Up!!","SuperVillain Studios","NA: UTV Ignition EntertainmentEU: FunBox Media","Unreleased","June 21, 2012","Unreleased","December 9, 2011",""
"The Oregon Trail","SVG Distribution","Crave Entertainment","Unreleased","December 13, 2011","Unreleased","Unreleased",""
"Osomatsu-San Neat Dasshutsu Spiral!!","FuRyu","FuRyu","April 12, 2017","Unreleased","Unreleased","Unreleased",""
"Otegaru Puzzle Series: Alice to Mahō no Trump","Arc System Works","Arc System Works","October 5, 2011","Unreleased","Unreleased","Unreleased",""
"Othello","Arc System Works","Arc System Works","June 7, 2011","Unreleased","Unreleased","Unreleased",""
"Outdoors Unleashed: Africa 3D","Teyon","Teyon","November 6, 2013","August 30, 2012","Unreleased","December 7, 2012",""
"Pac-Man & Galaga Dimensions","Bandai Namco Games","Bandai Namco Games","June 23, 2011","July 26, 2011","August 25, 2011","August 26, 2011",""
"Pac-Man Party 3D","Namco Networks","Bandai Namco Games","March 22, 2012","November 8, 2011","February 9, 2012","February 10, 2012",""
"Pac-Man and the Ghostly Adventures","Monkey Bar GamesBandai Namco Games","Bandai Namco Games","June 19, 2014","November 5, 2013","March 5, 2014","March 5, 2014",""
"Pac-Man and the Ghostly Adventures 2","Monkey Bar GamesBandai Namco Games","Bandai Namco Games","October 14, 2014","October 14, 2014","October 14, 2013","October 14, 2014",""
"Paddington: Adventures in London","Neko Entertainment","Humongous Entertainment","Unreleased","August 13, 2015","Unreleased","July 2, 2015",""
"Paper Mario: Sticker Star","Intelligent Systems","Nintendo","December 6, 2012","November 11, 2012","December 8, 2012","December 7, 2012",""
"Parascientific Escape: Crossing at the Farthest Horizon","Intense","Circle Entertainment","February 22, 2017","July 27, 2017","Unreleased","August 31, 2017",""
"Parascientific Escape: Cruise in the Distant Seas","Circle Entertainment","Circle Entertainment","July 9, 2014","March 3, 2016","Unreleased","March 3, 2016",""
"Parascientific Escape: Gear Detective","Intense","Circle Entertainment","December 2, 2015","February 9, 2017","Unreleased","March 2, 2017",""
"Paws & Claws: Pampered Pets Resort 3D","Neopica","THQ","Unreleased","March 20, 2012","Unreleased","November 30, 2011",""
"Pazuru","Moragami","Joindots","February 10, 2015","April 16, 2015","Unreleased","March 26, 2015",""
"Peakvox Mew Mew Train","Fun Unit","Fun Unit","January 30, 2013","Unreleased","Unreleased","Unreleased",""
"The Peanuts Movie: Snoopy's Grand Adventure","Beenox","Activision","Unreleased","November 3, 2015","November 6, 2015","November 6, 2015",""
"Penguin Hop","RCMADIAX","RCMADIAX","Unreleased","July 5, 2018","Unreleased","Unreleased",""
"Penguins of Madagascar","Little Orbit","Little Orbit","Unreleased","November 18, 2014","Unreleased","November 28, 2014",""
"Percy's Predicament Deluxe","Maestro Interactive","Maestro Interactive","Unreleased","September 14, 2017","Unreleased","Unreleased",""
"Persona Q: Shadow of the Labyrinth","Atlus","Atlus","June 5, 2014","November 25, 2014","December 4, 2014","November 28, 2014",""
"Persona Q2: New Cinema Labyrinth","Atlus","Atlus","November 29, 2018","June 4, 2019","Unreleased","June 4, 2019",""
"Pet Hospital","Neopica","Neopica","Unreleased","November 26, 2015","Unreleased","Unreleased",""
"Pet Inn 3D","Neopica","Neopica","August 3, 2016","January 21, 2016","Unreleased","Unreleased",""
"Pet Zombies","1st Playable Productions","Majesco Entertainment","Unreleased","October 18, 2011","Unreleased","Unreleased",""
"Petit Novel series: Harvest December","Circle Entertainment","TalestuneFlyhigh Works","December 18, 2013","December 10, 2015","Unreleased","December 10, 2015",""
"Petite Zombies","RandomSpin","RandomSpin","Unreleased","October 18, 2018","Unreleased","October 25, 2018",""
"Petz Beach","Ubisoft","Ubisoft","December 20, 2012","October 14, 2014","October 30, 2014","October 17, 2014",""
"Petz Countryside","Ubisoft","Ubisoft","April 18, 2013","October 14, 2014","October 30, 2014","October 17, 2014",""
"Petz Fantasy 3D","Ubisoft","Ubisoft","Unreleased","June 21, 2011","June 21, 2012","June 22, 2012",""
"The Phantom Thief Stina and 30 Jewels","Silver Star","Silver StarAgetec","October 19, 2011","July 19, 2012","Unreleased","June 20, 2013",""
"Phasmophobia: Hall of Specters 3D","In-D Gaming","In-D Gaming","Unreleased","January 17, 2019","Unreleased","Unreleased",""
"Phil's Epic Fill-a-Pix Adventure","Lightwood Games","Lightwood Games","December 13, 2017","November 2, 2017","Unreleased","November 2, 2017",""
"Phineas and Ferb: Quest for Cool Stuff","Behaviour Interactive","Majesco Entertainment","Unreleased","August 13, 2013","Unreleased","March 7, 2014",""
"Phoenix Wright: Ace Attorney − Dual Destinies","Capcom","Capcom","July 25, 2013","October 24, 2013","October 24, 2013","October 24, 2013",""
"Phoenix Wright: Ace Attorney − Spirit of Justice","Capcom","Capcom","June 9, 2016","September 8, 2016","September 8, 2016","September 8, 2016",""
"Phoenix Wright: Ace Attorney Trilogy","Capcom","Capcom","April 17, 2014","December 9, 2014","December 12, 2014","December 11, 2014",""
"Phonics Fun with Biff, Chip & Kipper","IE Institute","IE Institute","April 4, 2013","Unreleased","Unreleased","September 12, 2014",""
"Phonics Fun with Biff, Chip & Kipper Vol. 2","IE Institute","IE Institute","April 4, 2013","Unreleased","Unreleased","September 12, 2014",""
"Phonics Fun with Biff, Chip & Kipper Vol. 3","IE Institute","IE Institute","April 4, 2013","Unreleased","Unreleased","September 12, 2014",""
"Physical Contact: 2048","Collavier","Collavier Corporation","September 28, 2017","November 2, 2017","Unreleased","October 12, 2017",""
"Physical Contact: Picture Place","Collavier","Collavier Corporation","October 18, 2017","November 23, 2017","Unreleased","October 12, 2017",""
"Physical Contact: Speed","Collavier","Collavier Corporation","September 28, 2017","November 2, 2017","Unreleased","October 12, 2017",""
"Pic-a-Pix Color","Lightwood Games","Lightwood Games","September 6, 2017","April 13, 2017","Unreleased","March 30, 2017",""
"Picdun 2: Witch's Curse","Intense","Intense","August 22, 2012","February 21, 2013","Unreleased","May 2, 2013",""
"Pictlogica Final Fantasy","Square Enix","Square Enix","July 12, 2017","Unreleased","Unreleased","Unreleased",""
"Picross 3D: Round 2","Nintendo","Nintendo","October 1, 2015","September 1, 2016","December 3, 2016","December 2, 2016",""
"Picross e","Jupiter Corporation","Jupiter Corporation","July 27, 2011","June 13, 2013","Unreleased","September 6, 2012",""
"Picross e2","Jupiter Corporation","Jupiter Corporation","December 28, 2011","July 25, 2013","Unreleased","January 24, 2013",""
"Picross e3","Jupiter Corporation","Jupiter Corporation","June 12, 2013","October 3, 2013","Unreleased","November 14, 2013",""
"Picross e4","Jupiter Corporation","Jupiter Corporation","November 20, 2013","May 1, 2014","Unreleased","May 22, 2014",""
"Picross e5","Jupiter Corporation","Jupiter Corporation","June 11, 2014","November 13, 2014","November 13, 2014","November 13, 2014",""
"Picross e6","Jupiter Corporation","Jupiter Corporation","December 24, 2014","August 6, 2015","Unreleased","July 30, 2015",""
"Picross e7","Jupiter Corporation","Jupiter Corporation","April 27, 2016","December 15, 2016","Unreleased","December 22, 2016",""
"Picross e8","Jupiter Corporation","Jupiter Corporation","December 20, 2017","December 21, 2017","Unreleased","January 18, 2018",""
"Picross e9","Jupiter Corporation","Jupiter Corporation","August 8, 2018","Unreleased","Unreleased","Unreleased",""
"Pilotwings Resort","Monster Games","Nintendo","April 14, 2011","March 27, 2011","April 14, 2011","March 25, 2011",""
"Pinball Breaker","nuGAME","nuGAME","Unreleased","February 14, 2019","Unreleased","February 14, 2019",""
"Pinball Breaker 2","nuGAME","nuGAME","Unreleased","June 13, 2019","Unreleased","July 4, 2019",""
"Pinball Breaker 3","nuGAME","nuGAME","Unreleased","June 27, 2019","Unreleased","July 25, 2019",""
"Pinball Breaker 4","nuGAME","nuGAME","Unreleased","August 29, 2019","Unreleased","September 19, 2019",""
"Pinball Breaker V","nuGAME","nuGAME","Unreleased","November 14, 2019","Unreleased","November 14, 2019",""
"Pinball Breaker VI","nuGAME","nuGAME","Unreleased","January 23, 2020","Unreleased","February 6, 2020",""
"Pinball Breakout","nuGAME","nuGAME","Unreleased","October 4, 2018","Unreleased","October 4, 2018",""
"Pinball Breakout 2","nuGAME","nuGAME","Unreleased","November 15, 2018","Unreleased","November 15, 2018",""
"Pinball Breakout 3","nuGAME","nuGAME","Unreleased","July 18, 2019","Unreleased","August 1, 2019",""
"Pinball Breakout 4","nuGAME","nuGAME","Unreleased","October 3, 2019","Unreleased","Unreleased",""
"Pinball Hall of Fame: The Williams Collection","FarSight Studios","Crave Entertainment","Unreleased","September 13, 2011","Unreleased","Unreleased",""
"Ping Pong Trick Shot","Sims","Starsign","November 5, 2014","September 1, 2016","Unreleased","October 20, 2016",""
"Ping Pong Trick Shot 2","Starsign","Starsign","July 8, 2015","April 20, 2017","Unreleased","Unreleased",""
"Pink Dot Blue Dot","RCMADIAX","RCMADIAX","Unreleased","March 9, 2017","March 9, 2017","March 9, 2017",""
"Pippi Longstocking 3D","Ravn Studio","Pan Vision","Unreleased","Unreleased","Unreleased","November 2, 2012",""
"Pirate Pop Plus","Dadako Studios","JP: Rainy FrogWW: 13AM Games","February 22, 2017","October 20, 2016","October 21, 2016","October 20, 2016",""
"Pix 3D","Gamelion","JP: TeyonWW: Gamelion","April 17, 2013","December 20, 2012","Unreleased","November 22, 2012",""
"Pixel Hunter","Lemondo Games","Lemondo Games","Unreleased","October 6, 2016","Unreleased","May 11, 2017",""
"Pixel Paint","Sanuk Games","Rainy Frog","June 29, 2016","August 25, 2016","Unreleased","August 25, 2016",""
"PixelMaker","Nostatic Software","Nostatic Software","Unreleased","October 27, 2016","Unreleased","October 6, 2016",""
"PixelMaker Studio","Nostatic Software","Nostatic Software","Unreleased","November 29, 2018","Unreleased","December 20, 2018",""
"Planet Crashers","Renegade Kid","Ignition Entertainment","Unreleased","July 26, 2012","Unreleased","July 26, 2012",""
"Plantera","Ratalaika Games","JP: Rainy FrogWW: Ratalaika Games","February 1, 2017","February 9, 2017","Unreleased","February 9, 2017",""
"Pocket Card Jockey","Game Freak","Game Freak","May 5, 2016","May 5, 2016","May 5, 2016","May 5, 2016",""
"Pokémon Alpha Sapphire","Game Freak","The Pokémon Company","November 21, 2014","November 21, 2014","November 21, 2014","November 28, 2014",""
"Pokémon Art Academy","Headstrong Games","The Pokémon Company","June 19, 2014","October 24, 2014","July 5, 2014","July 4, 2014",""
"Pokémon Battle Trozei","Genius Sonority","The Pokémon Company","March 12, 2014","March 20, 2014","March 14, 2014","March 13, 2014",""
"Pokémon Dream Radar","Game Freak","Nintendo","June 12, 2012","October 7, 2012","October 11, 2012","October 12, 2012",""
"Pokémon Moon","Game Freak","Nintendo","November 18, 2016","November 18, 2016","November 18, 2016","November 23, 2016",""
"Pokémon Mystery Dungeon: Gates to Infinity","Spike Chunsoft","The Pokémon Company","November 23, 2012","March 24, 2013","May 18, 2013","May 17, 2013",""
"Pokémon Omega Ruby","Game Freak","The Pokémon Company","November 21, 2014","November 21, 2014","November 21, 2014","November 28, 2014",""
"Pokémon Picross","Jupiter Corporation","Nintendo","December 2, 2015","December 3, 2015","December 4, 2015","December 3, 2015",""
"Pokémon Rumble Blast","Ambrella","The Pokémon Company","August 11, 2011","October 24, 2011","December 8, 2011","December 2, 2011",""
"Pokémon Rumble World","Ambrella","The Pokémon Company","April 8, 2015","April 8, 2015","April 8, 2015","April 8, 2015",""
"Pokémon Shuffle","Genius Sonority","The Pokémon Company","February 18, 2015","February 18, 2015","February 18, 2015","February 18, 2015",""
"Pokémon Sun","Game Freak","Nintendo","November 18, 2016","November 18, 2016","November 18, 2016","November 23, 2016",""
"Pokémon Super Mystery Dungeon","Spike Chunsoft","The Pokémon Company","September 17, 2015","November 20, 2015","February 20, 2016","February 19, 2016",""
"Pokémon Ultra Moon","Game Freak","The Pokémon Company","November 17, 2017","November 17, 2017","November 17, 2017","November 17, 2017",""
"Pokémon Ultra Sun","Game Freak","The Pokémon Company","November 17, 2017","November 17, 2017","November 17, 2017","November 17, 2017",""
"Pokémon X","Game Freak","The Pokémon Company","October 12, 2013","October 12, 2013","October 12, 2013","October 12, 2013",""
"Pokémon Y","Game Freak","The Pokémon Company","October 12, 2013","October 12, 2013","October 12, 2013","October 12, 2013",""
"Polara","Circle Entertainment","Circle Entertainment","April 13, 2012","September 15, 2016","Unreleased","September 22, 2016",""
"Pong Pong Candy","Lionant","Lionant","Unreleased","February 12, 2015","Unreleased","Unreleased",""
"Poochy & Yoshi's Woolly World","Good-Feel","Nintendo","January 19, 2017","February 3, 2017","February 4, 2017","February 3, 2017",""
"Poptropica: Forgotten Islands","Ubisoft","Ubisoft","Unreleased","October 14, 2014","Unreleased","Unreleased",""
"Power Disc Slam","Chequered Cow Games","Chequered Cow Games","January 25, 2017","August 18, 2016","Unreleased","July 28, 2016",""
"Power Rangers Megaforce","Digital Works Entertainment","Bandai Namco Games","Unreleased","November 5, 2013","November 28, 2013","November 29, 2013",""
"Power Rangers Super Megaforce","Bandai Namco Games","Bandai Namco Games","Unreleased","October 28, 2014","Unreleased","October 24, 2014",""
"Pretty Rhythm: My Deco Rainbow Wedding","Takara Tomy","Takara Tomy","March 20, 2013","Unreleased","Unreleased","Unreleased",""
"Pretty Rhythm: Rainbow Live: Kirakira My Design","Takara Tomy","Takara Tomy","November 28, 2013","Unreleased","Unreleased","Unreleased",""
"Prince of Tennis: Go to the Top","FuRyu","FuRyu","March 5, 2015","Unreleased","Unreleased","Unreleased",""
"PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!","Takara Tomy","Takara Tomy","January 5, 2015","Unreleased","Unreleased","Unreleased",""
"PriPri Chi-chan!","Konami","Konami","November 16, 2017","Unreleased","Unreleased","Unreleased",""
"Pro Evolution Soccer 2011","Konami","Konami","February 26, 2011","March 27, 2011","March 31, 2011","March 27, 2011",""
"Pro Evolution Soccer 2012","Konami","Konami","December 8, 2011","February 21, 2012","December 1, 2011","December 1, 2011",""
"Pro Evolution Soccer 2013","Konami","Konami","November 1, 2012","February 12, 2013","December 13, 2012","November 29, 2012",""
"Pro Evolution Soccer 2014","PES Productions","Konami","November 14, 2013","Unreleased","Unreleased","Unreleased",""
"Pro Yakyuu Famista 2011","Now Production","Namco Bandai Games","March 31, 2011","Unreleased","Unreleased","Unreleased",""
"Pro Yakyuu Famista Climax","Namco Bandai Games","Namco Bandai Games","April 20, 2017","Unreleased","Unreleased","Unreleased",""
"Pro Yakyuu Spirits 2011","Konami","Konami","April 14, 2011","Unreleased","Unreleased","Unreleased",""
"Professor Layton and the Azran Legacy","Level-5","JP: Level-5WW: Nintendo","February 28, 2013","February 28, 2014","November 9, 2013","November 8, 2013",""
"Professor Layton and the Miracle Mask","Level-5","JP: Level-5WW: Nintendo","February 26, 2011","October 28, 2012","October 27, 2012","October 26, 2012",""
"Professor Layton vs. Phoenix Wright: Ace Attorney","Level-5Capcom","JP: Level-5WW: Nintendo","November 29, 2012","August 29, 2014","March 29, 2014","March 28, 2014",""
"Project X Zone","Monolith Soft","Bandai Namco Games","October 11, 2012","June 25, 2013","July 4, 2013","July 5, 2013",""
"Project X Zone 2","Monolith Soft","Bandai Namco Entertainment","November 12, 2015","February 16, 2016","February 12, 2016","February 12, 2016",""
"Proun+","Engine Software","JP: Rainy FrogWW: Engine Software","June 10, 2015","March 5, 2015","Unreleased","March 5, 2015",""
"Psyco Pigs","Bergsala Lightweight","JP: Mechanic ArmsWW: Bergsala Lightweight","August 19, 2015","October 6, 2016","Unreleased","July 28, 2016",""
"Public interest foundation foundation Japanese-Korean capability assessment association Han exam training 2","Imaginia","Imaginia","July 20, 2017","Unreleased","Unreleased","Unreleased",""
"Punch Club","TinyBuild","TinyBuild","Unreleased","January 19, 2017","Unreleased","February 2, 2017",""
"Puppies 3D","MTO","Ubisoft","December 15, 2011","November 8, 2011","June 14, 2012","November 11, 2011",""
"Purr Pals: Purrfection","Brain Toys","THQ","Unreleased","May 12, 2012","May 24, 2012","May 25, 2012",""
"Pushmo","Intelligent Systems","Nintendo","October 5, 2011","December 8, 2011","December 8, 2011","December 8, 2011",""
"Putty Squad","System 3","Maximum Games","Unreleased","May 20, 2014","April 17, 2014","April 25, 2014",""
"Puyo Puyo!! 20th Anniversary","Sonic Team","Sega","December 15, 2011","Unreleased","Unreleased","Unreleased",""
"Puyo Puyo Chronicle","Sega","Sega","December 8, 2016","Unreleased","Unreleased","Unreleased",""
"Puyo Puyo Mini","Sega","Sega","November 7, 2012","Unreleased","Unreleased","Unreleased",""
"Puyo Puyo Tetris","Sonic Team","Sega","February 6, 2014","Unreleased","Unreleased","Unreleased",""
"Puzzle & Dragons X","GungHo Online Entertainment","GungHo Online Entertainment","July 28, 2016","Unreleased","Unreleased","Unreleased",""
"Puzzle & Dragons Z","GungHo Online Entertainment","GungHo Online Entertainment","December 12, 2013","Unreleased","Unreleased","Unreleased",""
"Puzzle & Dragons: Super Mario Bros. Edition","GungHo Online Entertainment","GungHo Online Entertainment","April 29, 2015","Unreleased","Unreleased","Unreleased",""
"Puzzle Labyrinth","Circle Entertainment","Circle Entertainment","October 21, 2015","June 9, 2016","Unreleased","June 9, 2016",""
"Puzzler Mind Gym 3D","Ubisoft","Ubisoft","Unreleased","September 13, 2011","November 18, 2011","November 11, 2011",""
"Puzzler World 2012 3D","Ubisoft","Ubisoft","Unreleased","September 25, 2012","September 29, 2012","September 28, 2012",""
"Puzzler World 2013","Ideas Pad","Maximum Games","Unreleased","April 23, 2013","Unreleased","November 30, 2012",""
"Pyramids","Visual Impact","Enjoy Gaming","September 24, 2014","October 27, 2011","Unreleased","October 20, 2011",""
"Quarters, Please!","Nostatic Software","Nostatic Software","Unreleased","September 5, 2019","Unreleased","October 10, 2019",""
"Quarters, Please! Vol. 2","Nostatic Software","Nostatic Software","Unreleased","February 6, 2020","Unreleased","February 13, 2020",""
"The Queen TV-Game 2","Butterfly","Batafurai","Unreleased","November 26, 2020","Unreleased","Unreleased",""
"Quest of Dungeons","Upfall Studios","Upfall Studios","November 16, 2016","September 29, 2016","Unreleased","September 29, 2016",""
"Quiet, Please!","Nostatic Software","Nostatic Software","Unreleased","January 5, 2017","Unreleased","January 5, 2017",""
"Radiant Historia: Perfect Chronology","Atlus","Atlus","June 29, 2017","February 13, 2018","Unreleased","February 16, 2018",""
"Rabbids Rumble","Headstrong Games","Ubisoft","Unreleased","November 13, 2012","November 15, 2012","November 16, 2012",""
"Rabbids: Travel in Time 3D","Ubisoft","Ubisoft","March 24, 2011","April 10, 2011","March 31, 2011","April 1, 2011",""
"Rabi Laby 3","Silver Star","JP: Silver StarWW: Agetec","January 11, 2012","July 10, 2014","August 7, 2014","August 7, 2014",""
"Radiohammer","Arc System Works","Aksys Games","April 8, 2015","December 10, 2015","Unreleased","January 21, 2016",""
"Radirgy de Gojaru!","Klon","Klon","February 19, 2014","Unreleased","Unreleased","Unreleased",""
"Rainbow Snake","RandomSpin","RandomSpin","Unreleased","June 7, 2018","Unreleased","May 10, 2018",""
"Raining Coins","Crazysoft","Crazysoft","Unreleased","January 18, 2018","Unreleased","January 18, 2018",""
"Rayman 3D","Ubisoft","Ubisoft","Unreleased","March 27, 2011","March 31, 2011","March 25, 2011",""
"Rayman Origins","Ubisoft Montpellier","Ubisoft","July 19, 2012","November 6, 2012","June 14, 2012","June 8, 2012",""
"Real Escape Game x Nintendo 3DS: Escape from the Plan of Mega Destruction","Scrap Co., Ltd","Nintendo","July 31, 2015","Unreleased","Unreleased","Unreleased",""
"Real Heroes: Firefighter 3D","Epicenter Studios","Conspiracy Entertainment","Unreleased","August 10, 2012","February 14, 2013","November 30, 2012",""
"Recochoku","RecoChoku","RecoChoku","December 3, 2012","Unreleased","Unreleased","Unreleased",""
"Reel Fishing Paradise 3D","Natsume","Natsume","Unreleased","June 28, 2011","November 24, 2011","January 20, 2012",""
"Regular Show: Mordecai and Rigby in 8-Bit Land","WayForward Technologies","D3 Publisher","Unreleased","October 29, 2013","November 12, 2013","November 8, 2013",""
"Resident Evil: Revelations","CapcomTose","Capcom","January 26, 2012","February 7, 2012","February 2, 2012","January 27, 2012",""
"Resident Evil: The Mercenaries 3D","CapcomTose","Capcom","June 2, 2011","June 28, 2011","June 30, 2011","June 30, 2011",""
"Retro City Rampage DX","Vblank Entertainment","Vblank Entertainment","Unreleased","February 6, 2014","April 3, 2014","February 20, 2014",""
"Return to PopoloCrois: A Story of Seasons Fairytale","EpicsMarvelous AQL","JP: Marvelous AQLWW: Xseed Games","June 18, 2015","March 1, 2016","February 18, 2016","February 18, 2016",""
"Rhythm Heaven Megamix","Nintendo SPD","Nintendo","June 11, 2015","June 15, 2016","October 22, 2016","October 21, 2016",""
"Rhythm Thief & the Emperor's Treasure","SegaXeen","Sega","January 19, 2012","July 10, 2012","April 12, 2012","April 5, 2012",""
"Ridge Racer 3D","Bandai Namco GamesXeen","Bandai Namco Games","February 26, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Riding Stables 3D: Rivals in the Saddle","Treva Entertainment","Treva Entertainment","Unreleased","December 20, 2012","Unreleased","April 25, 2013",""
"Riki Densetsu","Arc System Works","Arc System Works","December 12, 2012","Unreleased","Unreleased","Unreleased",""
"Rilu Rilu Fairilu: Kirakira☆Hajimete no Fairilu Magic ♪","FuRyu","FuRyu","November 10, 2016","Unreleased","Unreleased","Unreleased",""
"Rise of the Guardians: The Video Game","Torus Games","D3 Publisher","Unreleased","November 20, 2012","November 29, 2012","November 20, 2012",""
"Rising Board 3D","Odenis Studio","Odenis Studio","Unreleased","September 20, 2012","Unreleased","November 8, 2012",""
"River City: Knights of Justice","Natsume","Arc System Works","April 30, 2014","June 20, 2017","Unreleased","June 22, 2017",""
"River City: Rival Showdown","Natsume","Arc System Works","October 27, 2016","November 21, 2017","Unreleased","November 21, 2017",""
"River City: Tokyo Rumble","Natsume","Arc System Works","August 8, 2013","September 27, 2016","Unreleased","September 27, 2016",""
"Rodea the Sky Soldier","Prope","Kadokawa Shoten","April 2, 2015","November 10, 2015","November 19, 2015","November 13, 2015",""
"RollerCoaster Tycoon 3D","n-Space","Atari","Unreleased","October 16, 2012","October 25, 2012","October 26, 2012",""
"RPG Maker Fes","Kadokawa Games","JP: Kadokawa GamesWW: NIS America","November 24, 2016","June 27, 2017","June 30, 2017","June 23, 2017",""
"RTO","nuGAME","nuGAME","Unreleased","November 9, 2017","Unreleased","November 9, 2017",""
"RTO 2","nuGAME","nuGAME","Unreleased","November 22, 2018","Unreleased","November 22, 2018",""
"RTO 3","nuGAME","nuGAME","Unreleased","January 3, 2019","Unreleased","January 3, 2019",""
"Rubik's Cube","Cypronia","Cypronia","Unreleased","June 23, 2016","Unreleased","June 23, 2016",""
"Runabout 3D: Drive Impossible","Rocket Company","Majesco Entertainment","January 19, 2012","July 2, 2013","Unreleased","February 22, 2013",""
"Runbow Pocket","13AM Games","13AM Games","Unreleased","June 20, 2017","Unreleased","June 20, 2017",""
"Rune Factory 4","Neverland","NA: Xseed GamesWW: Marvelous AQL","July 19, 2012","October 1, 2013","December 11, 2014","December 11, 2014",""
"Runny Egg","Tom Create","Tom Create","Unreleased","April 9, 2015","Unreleased","January 28, 2016",""
"RV-7 My Drone","EnjoyUp Games","EnjoyUp Games","March 30, 2016","January 28, 2016","Unreleased","January 7, 2016",""
"Rytmik Ultimate","Cinemax, s.r.o.","Cinemax, s.r.o.","Unreleased","December 10, 2015","December 10, 2015","December 10, 2015",""
"Sadame","Rising Star Games","Rising Star Games","December 17, 2014","February 25, 2016","February 26, 2016","February 25, 2016",""
"Saiki Kusuo no Psi-nan: Shijou Psi Dai no Psi-nan!?","Bandai Namco Games","Bandai Namco Games","November 10, 2016","Unreleased","Unreleased","Unreleased",""
"Sakura Samurai: Art of the Sword","Nintendo","Nintendo","November 16, 2011","February 2, 2012","Unreleased","October 11, 2012",""
"Samurai Defender","Flyhigh WorksLink Kit","Circle Entertainment","March 25, 2015","May 21, 2015","Unreleased","May 26, 2016",""
"Samurai G","UFO Interactive Games","UFO Interactive Games","Unreleased","October 4, 2012","Unreleased","November 1, 2012",""
"Samurai Sword Destiny","UFO Interactive Games","JP: CyberfrontWW: UFO Interactive Games","December 26, 2012","January 5, 2012","Unreleased","June 14, 2012",""
"Samurai Warriors: Chronicles","Omega Force","Tecmo Koei","February 26, 2011","March 27, 2011","March 31, 2011","March 25, 2011",""
"Samurai Warriors Chronicles 2","Omega Force","Tecmo Koei","September 13, 2012","Unreleased","Unreleased","Unreleased",""
"Samurai Warriors Chronicles 3","Omega Force","Tecmo Koei","December 4, 2014","June 30, 2015","Unreleased","June 24, 2015",""
"Sanrio characters Picross","Jupiter Corporation","Jupiter Corporation","April 25, 2018","July 19, 2018","Unreleased","June 28, 2018",""
"Scooby-Doo! & Looney Tunes Cartoon Universe Adventure","WayForward Technologies","Warner Bros. Interactive Entertainment","Unreleased","July 8, 2014","Unreleased","Unreleased",""
"Scoop'n Birds","TwinSky Games","TwinSky Games","Unreleased","April 13, 2017","Unreleased","Unreleased",""
"Scribblenauts Unlimited","5th Cell","Warner Bros. Interactive Entertainment","Unreleased","November 13, 2012","November 30, 2012","December 6, 2013",""
"Scribblenauts Unmasked: A DC Comics Adventure","5th Cell","Warner Bros. Interactive Entertainment","Unreleased","September 24, 2013","September 25, 2013","Unreleased",""
"SD Gundam G Generation","Namco Bandai Games","Namco Bandai Games","December 22, 2011","Unreleased","Unreleased","Unreleased",""
"Secret Mysteries in London","Media Sales & Licensing","Media Sales & Licensing","Unreleased","Unreleased","March 29, 2012","February 10, 2012",""
"Secrets of the Titanic","Avanquest Software","Avanquest Software","Unreleased","Unreleased","Unreleased","June 29, 2012",""
"Sega 3D Classics Collection","Sega","Sega","December 23, 2014","April 26, 2016","Unreleased","November 4, 2016",""
"Sega 3D Fukkoku Archives","M2","Sega","December 18, 2014","Unreleased","Unreleased","Unreleased",""
"Sega 3D Fukkoku Archives 3: Final Stage","M2","Sega","December 22, 2016","Unreleased","Unreleased","Unreleased",""
"Senran Kagura 2: Deep Crimson","Marvelous AQL","Marvelous AQL","August 7, 2014","September 15, 2015","August 27, 2015","August 27, 2015",""
"Senran Kagura Burst","Marvelous AQL","Marvelous AQL","August 30, 2012","November 14, 2013","February 28, 2014","February 28, 2014",""
"Senran Kagura: Shōjo-tachi no Shin'ei","Marvelous Entertainment","Marvelous Entertainment","September 22, 2011","Unreleased","Unreleased","Unreleased",""
"Severed","DrinkBox Studios","JP: Flyhigh WorksWW: DrinkBox Studios","December 28, 2016","October 13, 2016","Unreleased","September 22, 2016",""
"Shakedown: Hawaii","Vblank Entertainment","Vblank Entertainment","Unreleased","September 19, 2019","September 26, 2019","September 26, 2019",""
"Shantae and the Pirate's Curse","WayForward TechnologiesInti Creates","JP: IntergrowWW: WayForward Technologies","November 19, 2015","October 23, 2014","February 5, 2015","February 5, 2015",""
"Sherlock Holmes and The Mystery of the Frozen City","Frogwares","Focus Home Interactive","August 29, 2013","Unreleased","October 25, 2012","October 25, 2012",""
"Shift DX","Choice Provisions","Choice Provisions","July 27, 2016","January 12, 2017","Unreleased","January 12, 2017",""
"Shifting World","Fishing Cactus","Aksys Games","April 26, 2012","April 24, 2012","Unreleased","September 28, 2012",""
"Shika Kari-O","Arc System Works","Arc System Works","December 28, 2011","Unreleased","Unreleased","Unreleased",""
"Shin Megami Tensei IV","Atlus","Atlus","May 23, 2013","July 16, 2013","Unreleased","October 30, 2014",""
