"Bird Mania Christmas 3D","Teyon","Teyon","March 5, 2014","December 26, 2013","Unreleased","December 26, 2013",""
"Bit Boy!! Arcade","Bplus","Bplus","Unreleased","April 17, 2014","Unreleased","April 24, 2014",""
"Bit Dungeon Plus","Dolores Entertainment","Dolores Entertainment","December 20, 2017","July 13, 2017","Unreleased","Unreleased",""
"Bit.Trip Saga","Gaijin Games","PAL: Rising Star GamesWW: Aksys Games","July 10, 2013","September 13, 2011","April 25, 2013","March 23, 2012",""
"Biyoushi Debut Monogatari: Top Sutairisuto o Mezasou!","FuRyu","FuRyu","March 29, 2018","Unreleased","Unreleased","Unreleased",""
"Blast 'Em Bunnies","Nnooo","Nnooo","Unreleased","March 10, 2016","March 10, 2016","March 10, 2016",""
"Blaster Master Zero","Inti Creates","Inti Creates","March 3, 2017","March 9, 2017","March 9, 2017","March 9, 2017",""
"Blasting Agent: Ultimate Edition","Ratalaika Games","Ratalaika Games","March 29, 2017","August 18, 2016","Unreleased","August 18, 2016",""
"BlazBlue: Clone Phantasma","Arc System Works","Arc System Works","December 26, 2012","August 21, 2014","Unreleased","Unreleased",""
"BlazBlue: Continuum Shift II","Arc System Works","JP: Arc System WorksWW: Aksys Games","March 31, 2011","May 31, 2011","March 16, 2012","November 4, 2011",""
"Block-a-Pix Color","Lightwood Games","Lightwood Games","August 8, 2018","May 17, 2018","Unreleased","May 17, 2018",""
"Block Factory","Enjoy Gaming","Enjoy Gaming","Unreleased","April 26, 2012","Unreleased","April 26, 2012",""
"BlockForm","CW-Games","CW-Games","Unreleased","October 13, 2016","Unreleased","August 25, 2016",""
"Blok Drop Chaos","RCMADIAX","RCMADIAX","Unreleased","December 14, 2017","December 14, 2017","December 14, 2017",""
"Bloo Kid 2","JP: TeyonWW: winterworks","JP: TeyonWW: winterworks","October 21, 2015","May 7, 2015","May 7, 2015","May 7, 2015",""
"Bloodstained: Curse of the Moon","Inti Creates","Inti Creates","May 24, 2018","May 23, 2018","Unreleased","May 31, 2018",""
"Bloody Vampire","Silver Star","Silver StarAgetec","April 25, 2012","January 31, 2013","May 9, 2013","May 9, 2013",""
"Bomb Monkey","Renegade Kid","Renegade Kid","Unreleased","June 28, 2012","Unreleased","Unreleased",""
"Bonbon Ribbon: Tokimeki Coord Kirakira Dance","Rocket Company","Rocket Company","August 6, 2015","Unreleased","Unreleased","Unreleased",""
"Bonds of the Skies","Hit Point","Kemco","October 11, 2017","November 9, 2017","Unreleased","November 9, 2017",""
"Bookstores Everywhere","Librica","Librica","December 12, 2012","Unreleased","Unreleased","Unreleased",""
"B.O.O.L: Master Labyrinth Puzzle","Michael Wührer","Michael Wührer","Unreleased","November 12, 2020","Unreleased","January 7, 2021",""
"Boulder Dash-XL 3D","Giant Media Group","Giant Media Group","January 8, 2014","March 27, 2012","Unreleased","June 22, 2012",""
"Bowling Bonanza 3D","Enjoy Gaming","Enjoy Gaming","Unreleased","May 16, 2013","Unreleased","October 24, 2013",""
"BoxBoy!","HAL Laboratory","Nintendo","January 14, 2015","April 2, 2015","April 2, 2015","April 2, 2015",""
"BoxBoxBoy!","HAL Laboratory","Nintendo","January 6, 2016","June 30, 2016","June 30, 2016","June 30, 2016",""
"Box Up","RCMADIAX","JP: CosenWW: RCMADIAX","April 26, 2017","October 27, 2016","October 27, 2016","October 28, 2016",""
"Boxzle","Pouncing Kitten Games","Pouncing Kitten Games","Unreleased","April 10, 2014","Unreleased","Unreleased",""
"Brain Age: Concentration Training","Nintendo SPD","Nintendo","July 28, 2012","February 10, 2013","July 29, 2017","July 28, 2017",""
"Bratz: Fashion Boutique","Activision","Activision","Unreleased","October 30, 2012","Unreleased","Unreleased",""
"Brave Company","Cattle Call","Namco Bandai Games","October 27, 2011","Unreleased","Unreleased","Unreleased",""
"Brave Dungeon","Inside System","Inside System","November 30, 2016","March 30, 2017","Unreleased","March 2, 2017",""
"Brave Tank Hero","Arc System Works","Natsume","Unreleased","August 11, 2015","Unreleased","September 24, 2015",""
"Bravely Default","Silicon Studio","JP: Square EnixWW: Nintendo","October 11, 2012","February 7, 2014","December 7, 2013","December 6, 2013",""
"Bravely Second: End Layer","Silicon Studio","JP: Square EnixWW: Nintendo","April 23, 2015","April 15, 2016","February 27, 2016","February 26, 2016",""
"Breakout Defender","nuGAME","nuGAME","Unreleased","August 22, 2019","Unreleased","September 13, 2019",""
"Breakout Defense","nuGAME","nuGAME","Unreleased","September 6, 2018","Unreleased","August 2, 2018",""
"Breakout Defense 2","nuGAME","nuGAME","Unreleased","November 23, 2017","Unreleased","November 15, 2018",""
"Brick Race","RCMADIAX","JP: CosenWW: RCMADIAX","May 17, 2017","August 18, 2016","August 18, 2016","August 18, 2016",""
